start	end	text
0	13680	I'll just start it with the project hello everyone yeah can you hear us we
13680	32220	know yeah it's fine thank you good morning good afternoon everyone I'll be
32220	40380	sharing the details you know about how we are starting well now then big you
40380	43540	know then alive and that's great I'll also you know
43540	48940	focus on how we start in you know some of the pieces which we take care before
48940	56200	the Excel analyze and then how we pick off the analyze and update using manual
56200	65800	method also using some of this so we have couple of constraints which I just
65800	72440	share the link and the details are mentioned there but again some of the
72440	73520	process you
73520	80060	you know it will get things out anymore decision she but again бытьwind metiful
80060	82520	know so
84600	91200	two things first things which we are doing is we are going to upgrade this
91200	99460	time while cell and devices to the 19.2 version so it is this data image version
99460	103340	of your 19.2 few months and one or two months later we will be�
103340	103520	uh t outra...
103520	110880	back we did another play to twelve point dot dot eight but again we need to
110880	121280	upgrade and tell and dv4 I just know it's going on I have two three servers
121280	129140	to say if I have it so you know what all commands we do what all pieces we run
129140	136700	for that the first thing which we do is we take the item of time I know what
136700	143920	time should be you know less than 30 days otherwise our analyze will fail so
143920	150080	in in this case suppose for the best practice we usually run humanized at
150080	157280	least one week in advance so let's consider you know our island of 10 is 25
157280	159140	days now and
159140	164600	our upgrade is going to be scheduled in the next week so by the next week I know
164600	169960	of time will be you know more than 30 days so in those cases if you see you
169960	175800	know on an average item of time is more than 30 20 days you may reset dial ohm
175800	181040	not a problem but if you're still sure like you know you'll be a plane tomorrow
181040	189080	day after tomorrow not needed so I am NOT visiting the I know no as you know
189080	193560	the commands are mentioned here it will be working fine not a problem the first
193560	199200	thing is here we can see up time and then the second one is it will reset
199200	206360	dialogue once I don't reset is done we can you know again take the off time but
206360	213440	some of the situations here like I'll just show you on my screen here we see
213440	218540	the I know much that is not working so this is what I have learned now like for
218540	228440	example you know most of the server systems dial on it is let's let's not
228440	239240	highlight the thing where it's not working go with the ideal so another
239240	246780	command is to take the so faulty which will start false mention you know in this
246780	248540	you know then I know
248540	256260	except the disk thing the next command will need to take the physical disk
256260	262560	status for the cell and the DB as well so it will see whether you know this is
262560	270640	in the normal or the failed status or in any other like in the predictive failure
270640	278440	for the physical disk also we can see whether it is you know particularly failed or not
278540	291500	and this one is also important sometime you know we might not get into faulty or in the
291500	298600	disk but this tech hardware profile will list out all hardware faulty using this
298600	308260	command okay one of the best practice also we follow is we take the alert history in some cases you'll see
308540	314540	there there are alert history but even though it is already cleared and not cleared I mean
314540	320000	the actual error is fixed that we need to see whether it is really fixed or not that
320000	328100	you can get it in hardware tech profile or any other this is also important to
328100	333220	take the critical error in the alert history so this is this command will give you the
333220	338420	critical alert history if at all you need to drop the alert history
338540	345360	in case the fix has been applied and you're still seeing the alert history please drop
345360	353360	this using this one okay recently we encountered one bug where you know if there is a you know
353360	361240	this is 8 terabytes or 10 terabytes we were asked not to you can skip this one abhimanyu
361240	368540	it's not applied to the 19.2.3 version okay fine so similar pretext is for the alert history
368540	372400	yeah and so you can check just line of top last time here it is 90� 01 00 which we
372400	372460	don't like but yes i will explain to you how you can
372460	378240	And finally to this look like total error I apologize I was doing some basting
378480	384420	But run on over the division on Sunday so now I'll be showing you how we
384540	387720	Apparently doing other than analyze or the being alive I'll show you both
387720	398360	Before before abhimanyu runs the analyze I'll just brief that the process or the flow
398540	404840	we go through so these upgrades are divided into two parts one is the pre
404840	410420	check which we call as analyze checks second one is actual upgrade in the
410420	417120	analyze checks it will do the analysis of both hardware and software everything
417120	423300	that the cluster is healthy and ready for upgrade now this analyze process
423300	428020	when we kick off it takes around one hour for each cluster so to minimize
428020	432560	that thing that okay we can just instead of running analyze and get the hardware
432560	438160	issues from there will be running hardware checks ourselves first which I
438160	443520	be when you showed those commands of resetting the SP or the alert history
443520	448660	and all that so we can check the hardware stuff in that those using those
448660	453120	commands itself which we can do it in probably 15-20 minutes per cluster and
453300	457920	then raise the MOS cases get the hardware fixed once the hardware is
457920	463320	fixed then we can run the actual analyze which will actually still have those the
463320	468200	disks issues or other hardware faults won't be coming and analyze and will be
